像	xiang4	to resemble / to be like / to look as if / such as / appearance / image / portrait / image under a mapping (math.)	xi	ang4	亻象
象	xiang4	elephant / CL:隻|只[zhi1] / shape / form / appearance / to imitate	xi	ang4	
僔	zun3	to congregate / to crowd	zu	(e)n3	亻尊
尊	zun1	senior / of a senior generation / to honor / to respect / honorific / classifier for cannons and statues / ancient wine vessel	zu	(e)n1	寸酋
酋	qiu2	tribal chief	qi	ou2	丷酉
僖	xi1	surname Xi	xi	Ø1	亻喜
喜	xi3	to be fond of / to like / to enjoy / to be happy / to feel pleased / happiness / delight / glad	xi	Ø3	口壴
僖	xi1	cautious / merry / joyful	xi	Ø1	亻喜
僚	liao2	surname Liao	li	ao2	亻尞
僚	liao2	bureaucrat / colleague	li	ao2	亻尞
僝	chan2	to revile / to abuse	ch	an2	亻孱
孱	can4	see 孱頭|孱头[can4 tou5]	c	an4	孨尸
孨					子
孱	chan2	weak / feeble / lowly	ch	an2	孨尸
僣	jian4	to overstep one's authority / to usurp	ji	an4	亻替
替	ti4	to substitute for / to take the place of / to replace / for / on behalf of / to stand in for	ti	Ø4	㚘日
㚘					
僤	dan4	great / severe	d	an4	亻單
僦	jiu4	hire / to rent	ji	ou4	亻就
就	jiu4	at once / right away / only / just (emphasis) / as early as / already / as soon as / then / in that case / as many as / even if / to approach / to move towards / to undertake / to engage in / to suffer / subjected to / to accomplish / to take advantage of / to go with (of foods) / with regard to / concerning	ji	ou4	京尤
僧	seng1	monk / Sangha, the Buddhist monastic order	s	(e)ng1	亻曾
曾	zeng1	surname Zeng	z	(e)ng1	八曰田
曾	ceng2	once / already / ever (in the past) / former / previously / (past tense marker used before verb or clause)	c	(e)ng2	八曰田
曾	zeng1	great-grand (father, child etc)	z	(e)ng1	八曰田
僩	xian4	courageous / valiant	xi	an4	亻閒
閒	jian1	variant of 間|间[jian1]	ji	an1	月門
閒	jian4	variant of 間|间[jian4]	ji	an4	月門
僬	jiao1	see 僬僥|僬侥[Jiao1 Yao2]	ji	ao1	亻焦
焦	jiao1	surname Jiao	ji	ao1	灬隹
焦	jiao1	burnt / scorched / charred / worried / anxious / coke	ji	ao1	灬隹
僬	jiao1	see 僬僬[jiao1 jiao1]	ji	ao1	亻焦
僭	jian4	to usurp	ji	an4	亻朁
朁	can3	if, supposing, nevertheless	c	an3	兓日
兓					旡
僮	zhuang4	old variant of 壯|壮, Zhuang ethnic group of Guangxi	zhu	ang4	亻童
童	tong2	surname Tong	tu	(e)ng2	立里
童	tong2	child	tu	(e)ng2	立里
僮	tong2	servant boy	tu	(e)ng2	亻童
僯	lin3	ashamed	li	(e)n3	亻粦
僰	bo2	name of an ethnic group	b	o2	人棘
棘	ji2	thorns	ji	Ø2	朿
朿	ci4	stab	c	Ø4	⺆木
僱					亻雇
僳	su4	Lisu ethnic group of Yunnan	su	Ø4	亻粟
粟	su4	surname Su	su	Ø4	米覀
粟	su4	grain / millet / goose pimples	su	Ø4	米覀
僴	xian4	old variant of 僩[xian4]	xi	an4	亻間
間					日門
僵	jiang1	rigid / deadlock / stiff (corpse)	ji	ang1	亻畺
畺	jiang1	old variant of 疆[jiang1]	ji	ang1	三畕
畕					田
殭	jiang1	variant of 僵[jiang1]	ji	ang1	歹畺
僵	jiang1	variant of 僵[jiang1]	ji	ang1	亻畺
僻	pi4	biased / low / rustic / secluded	pi	Ø4	亻辟
辟	bi4	king / monarch / to enlist / to repel / to avoid	bi	Ø4	𡰪辛
𡰪					
辟	pi4	law / variant of 闢|辟[pi4]	pi	Ø4	𡰪辛
闢	pi4	to dispel / to refute / to repudiate / to open up (for development)	pi	Ø4	辟門
辟	pi4	to dispel / to refute / to repudiate / to open up (for development)	pi	Ø4	𡰪辛
僾	ai4	indistinct / hazy / misty / to seem / to appear	Ø	ai4	亻愛
愛					夂心爫
僿	sai4	small, minute / lacking sincerity	s	ai4	亻塞
塞	sai1	Serbia / Serbian / abbr. for 塞爾維亞|塞尔维亚[Sai1 er3 wei2 ya4]	s	ai1	基宀
基	ji1	base / foundation / basic / radical (chemistry)	ji	Ø1	其土
其	qi2	his / her / its / theirs / that / such / it (refers to sth preceding it)	qi	Ø2	
塞	sai1	to stop up / to squeeze in / to stuff / cork / stopper	s	ai1	基宀
塞	sai4	strategic pass / tactical border position	s	ai4	基宀
塞	se4	to stop up / to stuff / to cope with	s	e4	基宀
儃	chan2	indecisive / irresolute	ch	an2	亶亻
儅	dang1	stop	d	ang1	亻當
當					尚田
儆	jing3	to warn / to admonish	ji	(e)ng3	亻敬
敬	jing4	to respect / to venerate / to salute / to offer	ji	(e)ng4	攵茍
茍	ji2	urgent	ji	Ø2	卝句
卝	guan4	two bunches of hair on a child	gu	an4	卜
卝	kuang4	classical variant of 礦|矿[kuang4]	ku	ang4	卜
儇	xuan1	ingenious / frivolous	xu	an1	亻睘
睘					目
儊	chu4	rough and rugged	chu	Ø4	亻楚
楚	chu3	surname Chu / abbr. for Hubei 湖北省[Hu2 bei3 Sheng3] and Hunan 湖南省[Hu2 nan2 Sheng3] provinces together / Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC)	chu	Ø3	林疋
疋	ya3	variant of 雅[ya3]	y	a3	㇖
楚	chu3	distinct / clear / orderly / pain / suffering / deciduous bush used in Chinese medicine (genus Vitex) / punishment cane (old)	chu	Ø3	林疋
儋	dan1	carry	d	an1	亻詹
詹	zhan1	surname Zhan	zh	an1	儿厃言
厃					⺈厂
詹	zhan1	excellent / verbose	zh	an1	儿厃言
儌	jiao3	by mere luck	ji	ao3	亻敫
敫					攵方白
儍	sha3	variant of 傻[sha3]	sh	a3	亻八凵夊
夊	sui1	see 夂[zhi3]	su	ei1	
儒	ru2	scholar / Confucian	ru	Ø2	亻需
需	xu1	to require / to need / to want / necessity / need	xu	Ø1	而雨
儓	tai2	servant	t	ai2	亻臺
臺					吉至
儗					亻疑
儘					亻盡
儜	ning2	weak / wearied / in distress	ni	(e)ng2	亻寧
寧					丁寍
儞	ni3	old variant of 你[ni3]	ni	Ø3	亻爾
儡	lei3	to injure / puppet	l	ei3	亻畾
畾	lei2	fields divided by dikes	l	ei2	田
儤	bao4	on night duty	b	ao4	亻暴
暴	bao4	surname Bao	b	ao4	共日氺
暴	bao4	sudden / violent / cruel / to show or expose / to injure	b	ao4	共日氺
儦	biao1	walking to and fro	bi	ao1	亻麃
麃	biao1	to weed	bi	ao1	灬鹿
儩	si4	the end / to finish	s	Ø4	亻賜
賜					易貝
儭	chen4	to assist / to give alms	ch	(e)n4	亻親
儱	long3	rude / barbarous	lu	(e)ng3	亻龍
龍					
儳	chan4	irregular / mixed	ch	an4	亻毚
毚	chan2	cunning / artful	ch	an2	兔右比
兎	tu4	variant of 兔[tu4]	tu	Ø4	丿
兔	tu4	variant of 兔[tu4]	tu	Ø4	丶免
兔	tu4	rabbit	tu	Ø4	丶免
儸					亻羅
儹	zan3	to accumulate, to hoard, to store up	z	an3	亻贊
贊					兟貝
儽	lei3	lazy / tired out, worn fatigued	l	ei3	亻纍
纍					畾糸
允	yun3	just / fair / to permit / to allow	yu	(e)n3	儿厶
元	yuan2	surname Yuan / the Yuan or Mongol dynasty (1279-1368)	yu	an2	二儿
元	yuan2	unit of money (in PRC: Chinese yuan, in USA: dollar, etc) / primary / first	yu	an2	二儿
充	chong1	to fill / to satisfy / to fulfill / to act in place of / substitute / sufficient / full	chu	(e)ng1	亠允
兇					儿凶
光	guang1	light / ray / CL:道[dao4] / bright / only / merely / to use up	gu	ang1	⺌兀
克	ke4	to be able to / to subdue / to restrain / to overcome / gram / Tibetan unit of land area, about 6 ares	k	e4	儿古
剋	ke4	Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God	k	e4	克刂
克	ke4	Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God	k	e4	儿古
剋	ke4	variant of 克[ke4] / to subdue / to overthrow / to restrain	k	e4	克刂
克	ke4	variant of 克[ke4] / to subdue / to overthrow / to restrain	k	e4	儿古
剋	kei1	to scold / to beat			克刂
克	kei1	to scold / to beat			儿古
尅	ke4	variant of 剋|克[ke4]	k	e4	克寸
克	ke4	variant of 剋|克[ke4]	k	e4	儿古
兌					㕣儿
児	er2	Japanese variant of 兒|儿	Ø	Ø2	儿旧
舊	jiu4	old / opposite: new 新 / former / worn (with age)	ji	ou4	臼
旧	jiu4	old / opposite: new 新 / former / worn (with age)	ji	ou4	丨日
兌	dui4	surname Dui	du	ei4	㕣儿
兑	dui4	surname Dui	du	ei4	丷兄
㕣					
兌	dui4	to cash / to exchange / to add (liquid) / to blend / one of the Eight Trigrams 八卦[ba1 gua4], symbolizing swamp / ☱	du	ei4	㕣儿
兑	dui4	to cash / to exchange / to add (liquid) / to blend / one of the Eight Trigrams 八卦[ba1 gua4], symbolizing swamp / ☱	du	ei4	丷兄
兕	si4	(meaning uncertain); rhinoceros (possibly female) or bull	s	Ø4	儿凹
凹	ao1	a depression / indentation / concave / hollow	Ø	ao1	凵
凹	wa1	variant of 窪|洼[wa1] / (used in names)	w	a1	凵
兗	yan3	see 兗州|兖州[Yan3 zhou1]	y	an3	兄六
兖	yan3	see 兗州|兖州[Yan3 zhou1]	y	an3	允六
兘	shi3	old variant of 始[shi3]	sh	Ø3	元台
台	tai2	Taiwan (abbr.) / surname Tai	t	ai2	厶口
台	tai2	(classical) you (in letters) / variant of 臺|台[tai2]	t	ai2	厶口
檯	tai2	desk / table / counter	t	ai2	木臺
台	tai2	desk / table / counter	t	ai2	厶口
臺	tai2	Taiwan (abbr.)	t	ai2	吉至
台	tai2	Taiwan (abbr.)	t	ai2	厶口
臺	tai2	platform / stage / terrace / stand / support / station / broadcasting station / classifier for vehicles or machines	t	ai2	吉至
台	tai2	platform / stage / terrace / stand / support / station / broadcasting station / classifier for vehicles or machines	t	ai2	厶口
颱	tai2	typhoon	t	ai2	台風
台	tai2	typhoon	t	ai2	厶口
風					䖝几
兙	shi2	ke4]  / decagram (old) / single-character equivalent of 十克[shi2 ke4]	sh	Ø2	克十
兛	qian1	ke4]  / kilogram (old) / single-character equivalent of 千克[qian1 ke4]	qi	an1	克千
兜	dou1	pocket / bag / to wrap up or hold in a bag / to move in a circle / to canvas or solicit / to take responsibility for / to disclose in detail / combat armor (old)	d	ou1	儿白
兠	dou1	old variant of 兜[dou1]	d	ou1	儿
兜	dou1	old variant of 兜[dou1]	d	ou1	儿白
兝	fen1	ke4]  / decigram (old) / single-character equivalent of 分克[fen1 ke4]	f	(e)n1	克分
兞	hao2	ke4]  / milligram (old) / single-character equivalent of 毫克[hao2 ke4]	h	ao2	克毛
毛	mao2	surname Mao	m	ao2	
毛	mao2	hair / feather / down / wool / mildew / mold / coarse or semifinished / young / raw / careless / unthinking / nervous / scared / (of currency) to devalue or depreciate / classifier for Chinese fractional monetary unit ( = 角[jiao3] , = one-tenth of a yuan or 10 fen 分[fen1])	m	ao2	
兟	shen1	to advance	sh	(e)n1	先
兡	bai3	ke4]  / hectogram (old) / single-character equivalent of 百克[bai3 ke4]	b	ai3	克百
兢	jing1	to be fearful / apprehensive	ji	(e)ng1	克
兣	li2	ke4]  / centigram (old) / single-character equivalent of 厘克[li2 ke4]	li	Ø2	克厘
厘	li2	variant of 釐|厘[li2]	li	Ø2	厂里
釐	li2	Li (c. 2000 BC), sixth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, also known as Ai 哀[Ai1]	li	Ø2	里
厘	li2	Li (c. 2000 BC), sixth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, also known as Ai 哀[Ai1]	li	Ø2	厂里
釐	li2	one hundredth / centi-	li	Ø2	里
厘	li2	one hundredth / centi-	li	Ø2	厂里
內					⺆入
兮	xi1	(particle in old Chinese similar to 啊)	xi	Ø1	丂八
蘭	lan2	surname Lan / abbr. for Lanzhou 蘭州|兰州[Lan2 zhou1], Gansu	l	an2	卄闌
兰	lan2	surname Lan / abbr. for Lanzhou 蘭州|兰州[Lan2 zhou1], Gansu	l	an2	三丷
闌					柬門
蘭	lan2	orchid (蘭花|兰花 Cymbidium goeringii) / fragrant thoroughwort (蘭草|兰草 Eupatorium fortunei) / lily magnolia (木蘭|木兰)	l	an2	卄闌
兰	lan2	orchid (蘭花|兰花 Cymbidium goeringii) / fragrant thoroughwort (蘭草|兰草 Eupatorium fortunei) / lily magnolia (木蘭|木兰)	l	an2	三丷
兲	tian1	variant of 天, heaven / sky	ti	an1	八王
典	dian3	canon / law / standard work of scholarship / literary quotation or allusion / ceremony / to be in charge of / to mortgage or pawn	di	an3	八曲
茲	zi1	now / here / this / time / year	z	Ø1	𢆶卄
兹	zi1	now / here / this / time / year	z	Ø1	䒑𢆶
𢆶					
養	yang3	to raise (animals) / to bring up (children) / to keep (pets) / to support / to give birth	y	ang3	羌
养	yang3	to raise (animals) / to bring up (children) / to keep (pets) / to support / to give birth	y	ang3	介羊
羌	qiang1	Qiang ethnic group of northwestern Sichuan / surname Qiang	qi	ang1	儿羊
羌	qiang1	muntjac / grammar particle indicating nonsense (classical)	qi	ang1	儿羊
羗	qiang1	variant of 羌[qiang1]	qi	ang1	厶羌
羌	qiang1	variant of 羌[qiang1]	qi	ang1	儿羊
獸	shou4	beast / animal / beastly / bestial	sh	ou4	嘼犬
兽	shou4	beast / animal / beastly / bestial	sh	ou4	八田
嘼					口
冀	ji4	short name for Hebei 河北 province / surname Ji	ji	Ø4	北異
異					共田
冀	ji4	(literary) to hope for	ji	Ø4	北異
囅	chan3	smilingly	ch	an3	單展
冁	chan3	smilingly	ch	an3	单展
展	zhan3	surname Zhan	zh	an3	尸
展	zhan3	to spread out / to open up / to exhibit / to put into effect / to postpone / to prolong / exhibition	zh	an3	尸
冃	mao4	old variant of 帽[mao4] / hat / cap	m	ao4	⺆二
內	nei4	inside / inner / internal / within / interior	n	ei4	⺆入
内	nei4	inside / inner / internal / within / interior	n	ei4	⺆人
円	yuan2	yen (Japanese currency) / Japanese variant of 圓|圆	yu	an2	⺆丄
冇	mao3	to not have (Cantonese) / Mandarin equivalent: 沒有|没有[mei2 you3]	m	ao3	⺆𠂇
岡	gang1	ridge / mound	g	ang1	冂屰
冈	gang1	ridge / mound	g	ang1	⺆乂
屰					䒑屮
冊					冂廾
冊	ce4	book / booklet / classifier for books	c	e4	冂廾
册	ce4	book / booklet / classifier for books	c	e4	一卩
冏	jiong3	velvetleaf (Abutilon avicennae), plant of the jute family / bright	ju	(e)ng3	⺆
冐					冃月
冑	zhou4	variant of 胄[zhou4]	zh	ou4	冃由
冐	mao4	old variant of 冒[mao4]	m	ao4	冃月
冒	mao4	old variant of 冒[mao4]	m	ao4	冃目
冒	mao4	surname Mao	m	ao4	冃目
冒	mao4	to emit / to give off / to send out (or up, forth) / brave / bold / to cover / to act under false pretences	m	ao4	冃目
冓	gou4	inner rooms of palace / ten billions	g	ou4	井再
冔	xu3	cap of Yin dynasty	xu	Ø3	冃吁
吁	xu1	sh / hush	xu	Ø1	于口
吁	yu4	implore	yu	Ø4	于口
籲	yu4	to implore	yu	Ø4	⺮龥
吁	yu4	to implore	yu	Ø4	于口
龥	yu4	variant of 籲|吁[yu4]	yu	Ø4	頁龠
龠	yue4	ancient unit of volume (half a 合[ge3], equivalent to 50ml) / ancient flute	yu	e4	
冕	mian3	crown in the form of a horizontal board with hanging decorations / imperial crown	mi	an3	免冃
冗	rong3	extraneous / redundant / superfluous / busy schedule	ru	(e)ng3	冖几
宂	rong3	variant of 冗[rong3]	ru	(e)ng3	几宀
冗	rong3	variant of 冗[rong3]	ru	(e)ng3	冖几
冘	yin2	to move on / to go out	y	(e)n2	儿冖
寫	xie3	to write	xi	e3	宀舄
写	xie3	to write	xi	e3	与冖
舄	xi4	shoe / slipper	xi	Ø4	勹灬臼
軍	jun1	army / military / arms / CL:個|个[ge4]	ju	(e)n1	冖車
军	jun1	army / military / arms / CL:個|个[ge4]	ju	(e)n1	冖车
冞	mi2	deep	mi	Ø2	冖米
冠	guan4	surname Guan	gu	an4	㝴冖
㝴					
冠	guan1	hat / crown / crest / cap	gu	an1	㝴冖
冠	guan4	to put on a hat / to be first / to dub	gu	an4	㝴冖
冡	meng2	old variant of 蒙[meng2]	m	(e)ng2	一冖豕
豕	shi3	hog / swine	sh	Ø3	
冢	zhong3	mound / burial mound / senior (i.e. eldest child or senior in rank)	zhu	(e)ng3	冖豖
豖	chu4	a shackled pig	chu	Ø4	丶豕
塚	zhong3	variant of 冢[zhong3] / burial mound	zhu	(e)ng3	冢土
冢	zhong3	variant of 冢[zhong3] / burial mound	zhu	(e)ng3	冖豖
冣	ju4	old variant of 聚[ju4]	ju	Ø4	冖取
冤	yuan1	injustice / grievance / wrong	yu	an1	兔冖
寃	yuan1	old variant of 冤[yuan1]	yu	an1	兔宀
冤	yuan1	old variant of 冤[yuan1]	yu	an1	兔冖
㝠	ming2	old variant of 冥[ming2]	mi	(e)ng2	
冥	ming2	old variant of 冥[ming2]	mi	(e)ng2	冖昗
昗					六日
冥	ming2	dark / deep / stupid / the underworld	mi	(e)ng2	冖昗
冧	lin2	(Cantonese) to topple / to collapse / to coax / flower bud	li	(e)n2	冖林
冪					冖幕
馮	feng2	surname Feng	f	(e)ng2	冫馬
冯	feng2	surname Feng	f	(e)ng2	冫马
馮	ping2	to gallop / to assist / to attack / to wade / great / old variant of 憑|凭[ping2]	pi	(e)ng2	冫馬
冯	ping2	to gallop / to assist / to attack / to wade / great / old variant of 憑|凭[ping2]	pi	(e)ng2	冫马
冰	bing1	ice / CL:塊|块[kuai4] / methamphetamine (slang)	bi	(e)ng1	冫水
氷	bing1	variant of 冰[bing1]	bi	(e)ng1	丶水
冰	bing1	variant of 冰[bing1]	bi	(e)ng1	冫水
冱	hu4	congealed / frozen	hu	Ø4	互冫
沖	chong1	(of water) to dash against / to mix with water / to infuse / to rinse / to flush / to develop (a film) / to rise in the air / to clash / to collide with	chu	(e)ng1	中氵
冲	chong1	(of water) to dash against / to mix with water / to infuse / to rinse / to flush / to develop (a film) / to rise in the air / to clash / to collide with	chu	(e)ng1	中冫
衝	chong1	thoroughfare / to go straight ahead / to rush / to clash	chu	(e)ng1	行重
冲	chong1	thoroughfare / to go straight ahead / to rush / to clash	chu	(e)ng1	中冫
重	chong2	to repeat / repetition / again / re- / classifier: layer	chu	(e)ng2	千里
重	zhong4	heavy / serious / to attach importance to	zhu	(e)ng4	千里
衝	chong4	powerful / vigorous / pungent / towards / in view of	chu	(e)ng4	行重
冲	chong4	powerful / vigorous / pungent / towards / in view of	chu	(e)ng4	中冫
決	jue2	to decide / to determine / to execute (sb) / (of a dam etc) to breach or burst / definitely / certainly	ju	e2	夬氵
决	jue2	to decide / to determine / to execute (sb) / (of a dam etc) to breach or burst / definitely / certainly	ju	e2	冫夬
況	kuang4	moreover / situation	ku	ang4	兄氵
况	kuang4	moreover / situation	ku	ang4	兄冫
冶	ye3	to smelt / to cast / fig. to mould (into seductive shape) / to dress up (usu. derogatory)	y	e3	冫台
冷	leng3	surname Leng	l	(e)ng3	令冫
冷	leng3	cold	l	(e)ng3	令冫
冺					冫民
凍	dong4	to freeze / to feel very cold / aspic or jelly	du	(e)ng4	冫東
冻	dong4	to freeze / to feel very cold / aspic or jelly	du	(e)ng4	东冫
冼	xian3	surname Xian	xi	an3	先冫
冽	lie4	cold and raw	li	e4	冫列
凈	jing4	variant of 淨|净[jing4]	ji	(e)ng4	冫爭
净	jing4	variant of 淨|净[jing4]	ji	(e)ng4	争冫
淨	jing4	clean / completely / only / net (income, exports etc)	ji	(e)ng4	氵爭
净	jing4	clean / completely / only / net (income, exports etc)	ji	(e)ng4	争冫
凃	tu2	old variant of 涂[tu2]	tu	Ø2	余冫
凄	qi1	intense cold / frigid / dismal / grim / bleak / sad / mournful / also written 淒|凄[qi1]	qi	Ø1	冫妻
妻	qi1	wife	qi	Ø1	一女肀
妻	qi4	to marry off (a daughter)	qi	Ø4	一女肀
悽	qi1	variant of 淒|凄[qi1] / sad / mournful	qi	Ø1	妻忄
凄	qi1	variant of 淒|凄[qi1] / sad / mournful	qi	Ø1	冫妻
淒	qi1	intense cold / frigid / dismal / grim / bleak / sad / mournful	qi	Ø1	妻氵
凄	qi1	intense cold / frigid / dismal / grim / bleak / sad / mournful	qi	Ø1	冫妻
凅	gu4	dried up / dry / exhausted / tired	gu	Ø4	冫固
准	zhun3	to allow / to grant / in accordance with / in the light of	zhu	(e)n3	冫隹
準	zhun3	horizontal (old) / accurate / standard / definitely / certainly / about to become (bride, son-in-law etc) / quasi- / para-	zhu	(e)n3	十淮
